latitude,longitude,area_sq_km,capacity_mw,capacity_factor,wind_speed_150meters,landfall_distance_to_transmission_km,bathymetry_meters,distance_to_coast_km
46.622,-128.775,112.7844,599.4068878,0.44806686,9.210087776,103.1090389,-2749.168701,330.9370938
46.652,-128.636,112.7844,599.4068878,0.446451992,9.179314613,103.1090389,-2748.638916,320.3458438
46.682,-128.497,112.7844,599.4068878,0.444795012,9.15259552,103.1090389,-2727.223145,309.7533438
46.713,-128.358,112.7844,599.4068878,0.443294495,9.127260208,103.1090389,-2760.229492,299.1595
46.743,-128.219,112.7844,599.4068878,0.441385418,9.097001076,103.1090389,-2764.090088,288.5641875
46.773,-128.08,109.0584,579.6045918,0.439542919,9.062964439,103.1090389,-2746.06665,278.1120625
46.802,-127.941,103.0644,547.7487245,0.437269419,9.028996468,103.1090389,-2737.408936,267.0740625
46.832,-127.801,112.7844,599.4068878,0.435219944,8.995326042,103.1090389,-2702.584961,256.7802813
46.862,-127.662,112.7844,599.4068878,0.433211535,8.964812279,103.1090389,-2696.194824,246.1898594
46.891,-127.522,112.7844,599.4068878,0.431193233,8.936825752,103.1090389,-2678.84375,235.6020781
46.92,-127.382,98.1396,521.5752551,0.428739429,8.904039383,103.1090389,-2670.961426,224.8796406
46.95,-127.242,112.7844,599.4068878,0.42644757,8.867948532,103.1090389,-2656.76123,214.4360781
46.979,-127.102,104.3442,554.5503827,0.424323618,8.83439827,103.1090389,-2631.115967,204.0573125
47.008,-126.962,100.1241,532.1221301,0.422131687,8.799237251,103.1090389,-2606.016602,193.17925
47.036,-126.821,100.035,531.6485969,0.419401675,8.76560688,103.1090389,-2573.814453,182.6660938
47.065,-126.68,112.7844,599.4068878,0.416122854,8.724523544,103.1090389,-2570.999023,172.1587813
47.094,-126.54,112.7844,599.4068878,0.412630558,8.675368309,103.1090389,-2555.291992,161.6060781
47.122,-126.399,112.7844,599.4068878,0.409015566,8.627520561,103.1090389,-2526.850342,151.0628125
47.15,-126.258,102.3759,544.0896046,0.405142576,8.57665062,103.1090389,-2511.774414,140.9121406
47.179,-126.117,110.5326,587.4394133,0.400457114,8.516868591,103.1090389,-2408.456055,129.9029922
47.207,-125.975,112.7844,599.4068878,0.395772845,8.457487106,103.1090389,-1925.37146,119.509125
47.235,-125.834,112.7844,599.4068878,0.390661538,8.394176483,78.01913632,-1717.59729,109.0170859
47.262,-125.692,112.7844,599.4068878,0.384886831,8.322187424,78.01913632,-1657.005615,98.53577344
47.29,-125.551,112.7844,599.4068878,0.379009217,8.24519825,78.01913632,-1439.838989,88.06207031
47.318,-125.409,112.7844,599.4068878,0.372667581,8.161809921,78.01913632,-1550.329834,77.59346094
47.345,-125.267,112.7844,599.4068878,0.365651965,8.065652847,78.01913632,-1263.012939,67.12428125
47.372,-125.125,112.7844,599.4068878,0.358228385,7.966114044,78.01913632,-1344.074463,56.65613281
47.399,-124.982,51.0462,271.2914541,0.351791054,7.879704475,78.01913632,-1216.563843,49.07023828
